City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,77.14,light rain,-23.1203,-134.9692,Pension Maro'i
2,Vaini,TO,73.4,light rain,-21.2,-175.2,Keleti Beach Resort
5,Arraial Do Cabo,BR,78.8,few clouds,-22.9661,-42.0278,Pousada Porto Praia
19,Avarua,CK,75.2,light rain,-21.2078,-159.775,Paradise Inn
22,Atuona,PF,79.48,broken clouds,-9.8,-139.0333,Villa Enata
25,Mizdah,LY,75.4,broken clouds,31.4451,12.9801,محمدالمبروك الاريقط
42,San Policarpo,PH,78.94,broken clouds,12.1791,125.5072,JM Lodge
59,Mareeba,AU,75.2,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
62,Bubaque,GW,78.55,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
64,Port Alfred,ZA,76.66,overcast clouds,-33.5906,26.891,The Halyards Hotel
65,Tuy Hoa,VN,79.65,scattered clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
68,Kapaa,US,73.4,few clouds,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
78,Turbat,PK,75.38,heavy intensity rain,26.0023,63.044,Mubashar Quarters
80,Vao,NC,74.43,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
92,Joroan,PH,75.92,light rain,13.4885,123.6189,Balikbayan Resort
96,Souillac,MU,78.8,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
112,Cairns,AU,75.2,light rain,-16.9167,145.7667,Mantra Trilogy Cairns
114,Quatre Cocos,MU,78.8,light rain,-20.2078,57.7625,Veranda Palmar Beach Hotel
118,East London,ZA,73.4,clear sky,-33.0153,27.9116,Tu Casa
121,Mahebourg,MU,78.8,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
136,Isangel,VU,76.98,overcast clouds,-19.55,169.2667,Tanna Lodge
150,Cape Town,ZA,72.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
161,Katherine,AU,73.4,overcast clouds,-14.4667,132.2667,Pine Tree Motel
167,De Aar,ZA,78.48,scattered clouds,-30.6497,24.0123,Stoneburgh B&B
168,Sao Filipe,CV,72.93,overcast clouds,14.8961,-24.4956,Tortuga B&B
170,Lata,PT,73.99,broken clouds,40.1629,-8.3327,Casa Maquia
171,Grand Gaube,MU,77.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
176,Puerto Ayora,EC,78.8,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
177,Mackay,AU,75.2,overcast clouds,-21.15,149.2,International Lodge Motel
179,San Patricio,US,73.4,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
187,Moerai,PF,75.67,broken clouds,-22.4333,-151.3333,Le Manotel
191,Poso,ID,76.73,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
198,Bambous Virieux,MU,78.8,light rain,-20.3428,57.7575,Casa Tia Villa
201,Subaan,PH,78.01,broken clouds,13.0765,121.3647,Subaan Barangay Hall
214,Paraiso,CR,77.0,scattered clouds,9.8383,-83.8656,Rinconcito Verde
217,Puke,AL,71.6,clear sky,42.0444,19.8997,Hotel Turizmi Puka
218,Victoria,HK,75.0,overcast clouds,22.2855,114.1577,Mini Hotel Central
219,Richards Bay,ZA,74.55,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
229,Bengkulu,ID,79.23,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
240,Saldanha,ZA,71.6,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
244,Rumonge,BI,77.54,light rain,-3.9736,29.4386,Kwetu Guest House
249,Baft,IR,71.65,overcast clouds,29.234,56.6057,بافت خیابان طالقانی غربی ساختمان مادر
258,Mersing,MY,78.8,scattered clouds,2.4312,103.8405,Timotel Hotel
263,Rafsanjan,IR,70.66,overcast clouds,30.4067,55.9939,Rafsanjan Tourism Hotel
266,Praia,CV,78.8,broken clouds,14.9215,-23.5087,LT Aparthotel
268,Malatya,TR,78.8,broken clouds,38.5,38.0,
276,Bull Savanna,JM,79.81,scattered clouds,17.8868,-77.5902,Big Red's
278,Monte Patria,CL,70.72,clear sky,-30.6919,-70.9467,Hotel Monte Cordillera
288,Cap Malheureux,MU,77.0,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
291,Presidente Medici,BR,79.54,broken clouds,-11.1753,-61.9014,Oliveira Palace Hotel
301,Bria,CF,78.31,overcast clouds,6.5423,21.9863,
302,Dingle,PH,77.99,light rain,10.9995,122.6711,SEGAYA PROPERTY
306,Gorontalo,ID,75.69,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
318,Oyotun,PE,77.92,scattered clouds,-6.8519,-79.3036,Daysi chavez
320,Jieshi,CN,70.84,overcast clouds,22.8134,115.8257,Yuehai Hotel
333,Kupang,ID,77.74,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
335,Boyolangu,ID,75.42,few clouds,-8.1181,111.8935,Yos ega cv
348,Acapulco,MX,78.8,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
355,Cidreira,BR,70.32,broken clouds,-30.1811,-50.2056,Hotel Castelo
388,Santa Cruz,BO,71.6,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
389,Oyonnax,FR,73.0,few clouds,46.2592,5.6573,Central Parc Hôtel
395,Paka,MY,78.8,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA
396,Vanimo,PG,75.29,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
397,Kahului,US,71.6,few clouds,20.8947,-156.47,Maui Seaside Hotel
407,Sibolga,ID,78.35,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
409,Porto Belo,BR,75.99,clear sky,-27.1578,-48.5531,Costa Verde Beach Hotel
412,Port Keats,AU,75.38,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
414,Angoche,MZ,79.09,light rain,-16.2325,39.9086,Guest House HESADA
416,Manta,EC,77.0,broken clouds,-0.95,-80.7333,Balandra Hotel
417,Lasa,IT,77.0,few clouds,46.6166,10.7002,Pension Feldgärtenhof
427,Auki,SB,77.74,overcast clouds,-8.7676,160.7034,Auki Motel
432,Komsomolskiy,UZ,78.8,broken clouds,40.4272,71.7189,Ikathouse
453,Chibuto,MZ,77.97,clear sky,-24.6867,33.5306,Hotel Mar Da Zinha
454,Nacala,MZ,76.89,light rain,-14.5428,40.6728,Nacala Plaza Business Design Hotel
461,Pontes E Lacerda,BR,71.13,overcast clouds,-15.2261,-59.3353,Hotel Bressan
462,Pangkalanbuun,ID,76.51,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
466,Puerto Baquerizo Moreno,EC,75.63,broken clouds,-0.9,-89.6,Hotel los Algarrobos
470,Labuhan,ID,79.83,scattered clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
472,Gambiran,ID,76.17,few clouds,-6.7988,111.4951,GUBUK KU
474,Makakilo City,US,71.6,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
476,Sayyan,YE,70.21,overcast clouds,15.1718,44.3244,متنزه و بحيرة سيان
483,Tezu,IN,79.41,clear sky,27.9167,96.1667,Circuit House
491,Liwale,TZ,73.38,light rain,-9.7667,37.9333,Samoma Lodge
492,Ambunti,PG,72.46,overcast clouds,-4.2365,142.8448,Ambunti Lodge
493,Marawi,PH,79.0,broken clouds,7.9986,124.2928,Derogongan Residence
503,Champerico,GT,78.8,few clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
509,Kathmandu,NP,75.2,few clouds,27.7167,85.3167,Hotel Shanker Kathmandu
521,Daru,PG,78.51,overcast clouds,-9.0763,143.2092,Daru Lodge
528,Ishigaki,JP,73.04,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
532,Ixtapa,MX,75.0,clear sky,20.7,-105.2,Hotel Plaza Providencia
534,Cukai,MY,78.8,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
549,Aitape,PG,77.07,light rain,-3.1374,142.3475,
576,Melfi,IT,73.4,clear sky,40.9965,15.6514,HOTEL TERME DI RAPOLLA
585,Presidente Prudente,BR,77.0,clear sky,-22.1256,-51.3889,Hotel Nações
593,Antalya,TR,75.2,light rain,36.7741,30.7178,
596,Kihei,US,71.6,few clouds,20.785,-156.4656,Maui Sunset
598,Mantua,IT,75.0,clear sky,45.1667,10.7833,Hotel la Favorita
605,Zhangzhou,CN,71.6,overcast clouds,24.5133,117.6556,Borrman Hotel Zhangzhou Bus Station Branch
612,Cocal,BR,70.0,overcast clouds,-28.6167,-49.35,Motel Tropical
616,Katobu,ID,75.56,broken clouds,-4.9408,122.5276,La Ode Husein
618,Sal Rei,CV,77.0,scattered clouds,16.1833,-22.9167,Marine Club Beach Resort
619,Ouegoa,NC,75.04,overcast clouds,-20.35,164.4333,
622,Tautira,PF,75.2,light rain,-17.7333,-149.15,Pension Oaoa
623,Tabuk,PH,72.14,few clouds,17.4189,121.4443,Golden Berries Hotel and Convention
626,Lichinga,MZ,75.2,scattered clouds,-13.3128,35.2406,Residencial Bendiak
628,Bima,ID,74.97,broken clouds,-8.4667,118.7167,Lambitu Hotel
630,Kasungu,MW,76.33,scattered clouds,-13.0333,33.4833,Mame Motel
649,Pontedera,IT,72.0,broken clouds,43.6616,10.6317,Le Sodole Country Resort & Golf
651,Plettenberg Bay,ZA,74.34,overcast clouds,-34.0527,23.3716,Thanda Vista B&B
652,Kailua,US,73.4,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
